Added,URL, Price ,Year,Make,Model,Trim,Body,Mileage,Man0Auto1,Drivetrain,Fuel,HP,Displacement,Engine,Combined MPG,State,Title Issues,Accidents?,Owners,Rental Use?,Fleet Use?
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=314885276/NONE," $3,990 ",2007,Chrysler,PT Cruiser,,Convertible,126396,1,FWD,Gas,150,2.4,I4,21,TX,No,No,5,Yes,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=313324697/NONE," $8,995 ",2010,MINI,Cooper,S,Convertible,"72,000",1,FWD,Gas,172,1.6,I4,28,TX,No,No,3,No,Yes
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=313201653/NONE," $5,800 ",2009,Saturn,Sky,Red Line,Convertible,"140,477",1,RWD,Gas,260,2,I4,23,TX,No,No,2,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=314885268/NONE," $8,995 ",2003,Audi,TT,1.8T,Convertible/Roadster,"58,223",1,FWD,Gas,180,1.8,I4,22,TX,No,No,4,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=310813461/NONE," $5,900 ",1996,BMW,Z3,1.9,Convertible/Roadster,"181,650",0,RWD,Gas,138,1.9,I4,24,TX,No,No,6,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=312346506/NONE," $4,999 ",1999,Mercedes-Benz,SLK 230,Supercharged,Convertible,"92,000",1,RWD,Gas,185,2.3,I4,,TX,No,Yes,3,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=312237736/NONE," $6,495 ",1999,Mercedes-Benz,SLK 230,Supercharged,Convertible,"111,109",1,RWD,Gas,185,2.3,I4,,TX,No,No,1,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=314391676/NONE," $8,699 ",2003,BMW,Z4,2.5i,Convertible/Roadster,"68,327",1,RWD,Gas,184,2.5,I6,22,TX,No,Yes,1,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=314887117/NONE," $9,495 ",2008,BMW,3 Series,328i,Convertible,"113,826",0,RWD,Gas,230,3,I6,21,TX,No,No,4,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=309434928/NONE," $9,495 ",2002,BMW,3 Series,330Ci,Convertible,"107,355",0,RWD,Gas,225,3,I6,21,TX,No,No,5,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=314103961/NONE," $8,995 ",2008,Nissan,350Z,Touring,Convertible/Roadster,"98,984",1,RWD,Gas,306,3.5,V6,20,TX,No,1,3,Yes,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=308136578/NONE," $8,800 ",2009,INFINITI,G37,,Convertible,"133,112",1,RWD,Gas,325,3.7,V6,21,TX,No,2,3,No,No
